Org ID,Org Name,Station ID,WBID,Act Date,Act Time,Act Type,Act Category,Act Depth,Depth Units,Relative Depth,Characteristic,Result Value,Result Units,VQ,Analysis Date,Analysis Time,Procedure Name,Comment,Sample Fraction,MDL,MDL Units,PQL,Medium,Matrix
21FLWPB,"FL Dept. of Environmental Protection, Southeast District",28040381,3283,6/13/2017,12:55:00 PM,Sample,Routine Sample,0.3,m,,Phosphorus as P,0.016,mg/l,,6/16/2017,12:50:00 PM,365.1,,Total,0.002,mg/l,0.005,Water,Surface Water
21FLWPB,"FL Dept. of Environmental Protection, Southeast District",28040381,3283,6/13/2017,12:55:00 PM,Sample,Routine Sample,0.3,m,,"Nitrogen, ammonia as N",0.62,mg/l,,6/15/2017,4:01:00 PM,350.1,,Total,0.02,mg/l,0.05,Water,Surface Water
21FLWPB,"FL Dept. of Environmental Protection, Southeast District",28040381,3283,6/13/2017,12:55:00 PM,Sample,Routine Sample,0.3,m,,"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",0.11,mg/l,,6/16/2017,9:30:00 AM,353.2,,Total,0.004,mg/l,0.01,Water,Surface Water
21FLWPB,"FL Dept. of Environmental Protection, Southeast District",28040381,3283,6/13/2017,12:55:00 PM,Sample,Routine Sample,0.3,m,,"Phosphorus, orthophosphate as P",*Non-detect,,U,6/14/2017,2:10:00 PM,365.1,**U**,Dissolved,0.004,mg/l,0.01,Water,Surface Water
21FLWPB,"FL Dept. of Environmental Protection, Southeast District",28040381,3283,3/29/2017,1:15:00 PM,Sample,Routine Sample,0.3,m,,"Phosphorus, orthophosphate as P",*Non-detect,,U,3/30/2017,4:13:00 PM,365.1,**U**,Dissolved,0.004,mg/l,0.01,Water,Surface Water
21FLWPB,"FL Dept. of Environmental Protection, Southeast District",28040381,3283,3/29/2017,1:15:00 PM,Sample,Routine Sample,0.3,m,,"Nitrogen, ammonia as N",0.15,mg/l,,3/30/2017,12:25:00 PM,350.1,,Total,0.002,mg/l,0.005,Water,Surface Water
21FLWPB,"FL Dept. of Environmental Protection, Southeast District",28040381,3283,3/29/2017,1:15:00 PM,Sample,Routine Sample,0.3,m,,"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",0.022,mg/l,,3/31/2017,10:50:00 AM,353.2,,Total,0.004,mg/l,0.01,Water,Surface Water
21FLWPB,"FL Dept. of Environmental Protection, Southeast District",28040381,3283,3/29/2017,1:15:00 PM,Sample,Routine Sample,0.3,m,,Phosphorus as P,0.006,mg/l,,4/4/2017,12:11:00 PM,365.1,,Total,0.002,mg/l,0.005,Water,Surface Water
21FLGW,FL Dept. of Environmental Protection,50408,3283,3/1/2017,10:45:00 AM,Sample,Routine Sample,,,,"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",.043,mg/l,,3/7/2017,10:43:00 AM,353.2,,Total,0.004,mg/l,0.01,Water,Surface Water
21FLGW,FL Dept. of Environmental Protection,50408,3283,3/1/2017,10:45:00 AM,Sample,Routine Sample,,,,Phosphorus as P,.007,mg/l,G,3/9/2017,12:08:00 PM,365.1,ANALYTE DETECTED IN A FIELD GENERATED BLANK,Total,0.002,mg/l,0.005,Water,Surface Water
21FLGW,FL Dept. of Environmental Protection,50408,3283,3/1/2017,10:45:00 AM,Sample,Routine Sample,,,,"Nitrogen, ammonia as N",.009,mg/l,,3/8/2017,12:27:00 PM,350.1,,Total,0.002,mg/l,0.005,Water,Surface Water
21FLWPB,"FL Dept. of Environmental Protection, Southeast District",G4SE0075,3283,6/8/2016,10:40:00 AM,Sample,Routine Sample,0.3,m,,"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",0.032,mg/l,,6/13/2016,11:38:00 AM,353.2,,Total,0.004,mg/l,0.01,Water,Surface Water
21FLWPB,"FL Dept. of Environmental Protection, Southeast District",G4SE0075,3283,6/8/2016,10:40:00 AM,Sample,Routine Sample,0.3,m,,"Nitrogen, ammonia as N",0.61,mg/l,,6/15/2016,2:26:00 PM,350.1,,Total,0.01,mg/l,0.025,Water,Surface Water
21FLWPB,"FL Dept. of Environmental Protection, Southeast District",G4SE0075,3283,6/8/2016,10:40:00 AM,Sample,Routine Sample,0.3,m,,Phosphorus as P,0.008,mg/l,,6/16/2016,2:58:00 PM,365.1,,Total,0.002,mg/l,0.005,Water,Surface Water
21FLWPB,"FL Dept. of Environmental Protection, Southeast District",G4SE0075,3283,6/8/2016,10:40:00 AM,Sample,Routine Sample,0.3,m,,"Phosphorus, orthophosphate as P",*Non-detect,,U,6/9/2016,3:22:00 PM,365.1,**U**,Dissolved,0.004,mg/l,0.01,Water,Surface Water
21FLWPB,"FL Dept. of Environmental Protection, Southeast District",G4SE0075,3283,4/14/2016,3:10:00 PM,Sample,Routine Sample,0.3,m,,"Phosphorus, orthophosphate as P",*Non-detect,,U,4/15/2016,1:19:00 PM,365.1,**U**,Dissolved,0.004,mg/l,0.01,Water,Surface Water
21FLWPB,"FL Dept. of Environmental Protection, Southeast District",G4SE0075,3283,4/14/2016,3:10:00 PM,Sample,Routine Sample,0.3,m,,"Nitrogen, ammonia as N",0.26,mg/l,,4/27/2016,2:17:00 PM,350.1,,Total,0.01,mg/l,0.025,Water,Surface Water
21FLWPB,"FL Dept. of Environmental Protection, Southeast District",G4SE0075,3283,4/14/2016,3:10:00 PM,Sample,Routine Sample,0.3,m,,"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",0.017,mg/l,,4/22/2016,1:06:00 PM,353.2,,Total,0.004,mg/l,0.01,Water,Surface Water
21FLWPB,"FL Dept. of Environmental Protection, Southeast District",G4SE0075,3283,4/14/2016,3:10:00 PM,Sample,Routine Sample,0.3,m,,Phosphorus as P,0.006,mg/l,,4/27/2016,3:48:00 PM,365.1,,Total,0.002,mg/l,0.005,Water,Surface Water
21FLWPB,"FL Dept. of Environmental Protection, Southeast District",G4SE0075,3283,4/4/2016,11:40:00 AM,Sample,Routine Sample,0.3,m,,Phosphorus as P,0.008,mg/l,,4/12/2016,10:53:00 AM,365.1,Total-P:  Matrix spike recovery data is unavailable due to high analyte concentration in the QC sample.,Total,0.002,mg/l,0.005,Water,Surface Water
21FLWPB,"FL Dept. of Environmental Protection, Southeast District",G4SE0075,3283,4/4/2016,11:40:00 AM,Sample,Routine Sample,0.3,m,,"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",0.022,mg/l,,4/8/2016,10:41:00 AM,353.2,,Total,0.004,mg/l,0.01,Water,Surface Water
21FLWPB,"FL Dept. of Environmental Protection, Southeast District",G4SE0075,3283,4/4/2016,11:40:00 AM,Sample,Routine Sample,0.3,m,,"Nitrogen, ammonia as N",0.72,mg/l,,4/7/2016,3:09:00 PM,350.1,,Total,0.02,mg/l,0.05,Water,Surface Water
21FLWPB,"FL Dept. of Environmental Protection, Southeast District",G4SE0075,3283,4/4/2016,11:40:00 AM,Sample,Routine Sample,0.3,m,,"Phosphorus, orthophosphate as P",*Non-detect,,U,4/5/2016,3:10:00 PM,365.1,**U**,Dissolved,0.004,mg/l,0.01,Water,Surface Water
21FLWPB,"FL Dept. of Environmental Protection, Southeast District",G4SE0075,3283,3/24/2016,10:00:00 AM,Sample,Routine Sample,0.3,m,,"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",0.020,mg/l,,4/1/2016,1:14:00 PM,353.2,,Total,0.004,mg/l,0.01,Water,Surface Water
21FLWPB,"FL Dept. of Environmental Protection, Southeast District",G4SE0075,3283,3/24/2016,10:00:00 AM,Sample,Routine Sample,0.3,m,,"Nitrogen, ammonia as N",0.18,mg/l,,4/5/2016,5:02:00 PM,350.1,,Total,0.004,mg/l,0.01,Water,Surface Water
21FLWPB,"FL Dept. of Environmental Protection, Southeast District",G4SE0075,3283,3/24/2016,10:00:00 AM,Sample,Routine Sample,0.3,m,,Phosphorus as P,0.006,mg/l,,4/6/2016,4:05:00 PM,365.1,,Total,0.002,mg/l,0.005,Water,Surface Water
21FLWPB,"FL Dept. of Environmental Protection, Southeast District",G4SE0075,3283,3/24/2016,10:00:00 AM,Sample,Routine Sample,0.3,m,,"Phosphorus, orthophosphate as P",*Non-detect,,U,3/25/2016,3:38:00 PM,365.1,**U**,Dissolved,0.004,mg/l,0.01,Water,Surface Water
21FLWPB,"FL Dept. of Environmental Protection, Southeast District",G4SE0075,3283,3/15/2016,11:00:00 AM,Sample,Routine Sample,0.3,m,,"Phosphorus, orthophosphate as P",*Non-detect,,U,3/16/2016,2:46:00 PM,365.1,**U**,Dissolved,0.004,mg/l,0.01,Water,Surface Water
21FLWPB,"FL Dept. of Environmental Protection, Southeast District",G4SE0075,3283,3/15/2016,11:00:00 AM,Sample,Routine Sample,0.3,m,,"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",0.023,mg/l,,3/21/2016,12:03:00 PM,353.2,,Total,0.004,mg/l,0.01,Water,Surface Water
21FLWPB,"FL Dept. of Environmental Protection, Southeast District",G4SE0075,3283,3/15/2016,11:00:00 AM,Sample,Routine Sample,0.3,m,,"Nitrogen, ammonia as N",0.33,mg/l,,3/28/2016,10:52:00 AM,350.1,,Total,0.02,mg/l,0.05,Water,Surface Water
21FLWPB,"FL Dept. of Environmental Protection, Southeast District",G4SE0075,3283,3/15/2016,11:00:00 AM,Sample,Routine Sample,0.3,m,,Phosphorus as P,0.007,mg/l,,3/25/2016,2:50:00 PM,365.1,Total-P:  Matrix spike recovery data is unavailable due to high analyte concentration in the QC sample.,Total,0.002,mg/l,0.005,Water,Surface Water
21FLWPB,"FL Dept. of Environmental Protection, Southeast District",G4SE0075,3283,3/2/2016,4:00:00 PM,Sample,Routine Sample,0.3,m,,"Phosphorus, orthophosphate as P",*Non-detect,,U,3/3/2016,1:47:00 PM,365.1,**U**,Dissolved,0.004,mg/l,0.01,Water,Surface Water
21FLWPB,"FL Dept. of Environmental Protection, Southeast District",G4SE0075,3283,3/2/2016,4:00:00 PM,Sample,Routine Sample,0.3,m,,Phosphorus as P,0.007,mg/l,,3/14/2016,12:39:00 PM,365.1,,Total,0.002,mg/l,0.005,Water,Surface Water
21FLWPB,"FL Dept. of Environmental Protection, Southeast District",G4SE0075,3283,3/2/2016,4:00:00 PM,Sample,Routine Sample,0.3,m,,"Nitrogen, ammonia as N",0.45,mg/l,,3/15/2016,1:46:00 PM,350.1,,Total,0.01,mg/l,0.025,Water,Surface Water
21FLWPB,"FL Dept. of Environmental Protection, Southeast District",G4SE0075,3283,3/2/2016,4:00:00 PM,Sample,Routine Sample,0.3,m,,"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",0.059,mg/l,,3/10/2016,11:16:00 AM,353.2,,Total,0.004,mg/l,0.01,Water,Surface Water
21FLWPB,"FL Dept. of Environmental Protection, Southeast District",G4SE0075,3283,2/15/2016,10:40:00 AM,Sample,Routine Sample,0.3,m,,"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",0.052,mg/l,,2/19/2016,1:27:00 PM,353.2,,Total,0.004,mg/l,0.01,Water,Surface Water
21FLWPB,"FL Dept. of Environmental Protection, Southeast District",G4SE0075,3283,2/15/2016,10:40:00 AM,Sample,Routine Sample,0.3,m,,Phosphorus as P,0.007,mg/l,,2/22/2016,12:15:00 PM,365.1,,Total,0.002,mg/l,0.005,Water,Surface Water
21FLWPB,"FL Dept. of Environmental Protection, Southeast District",G4SE0075,3283,2/15/2016,10:40:00 AM,Sample,Routine Sample,0.3,m,,"Nitrogen, ammonia as N",0.53,mg/l,,2/24/2016,11:49:00 AM,350.1,Matrix spike recovery data is unavailable due to high analyte concentration in the QC sample.,Total,0.01,mg/l,0.025,Water,Surface Water
21FLWPB,"FL Dept. of Environmental Protection, Southeast District",G4SE0075,3283,2/15/2016,10:40:00 AM,Sample,Routine Sample,0.3,m,,"Phosphorus, orthophosphate as P",*Non-detect,,U,2/16/2016,2:26:00 PM,365.1,**U**,Dissolved,0.004,mg/l,0.01,Water,Surface Water
21FLWPB,"FL Dept. of Environmental Protection, Southeast District",G4SE0075,3283,1/27/2016,2:40:00 PM,Sample,Routine Sample,0.3,m,,"Phosphorus, orthophosphate as P",*Non-detect,,U,1/28/2016,1:28:00 PM,365.1,**U**,Dissolved,0.004,mg/l,0.01,Water,Surface Water
21FLWPB,"FL Dept. of Environmental Protection, Southeast District",G4SE0075,3283,1/27/2016,2:40:00 PM,Sample,Routine Sample,0.3,m,,"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",0.079,mg/l,,2/2/2016,11:43:00 AM,353.2,,Total,0.004,mg/l,0.01,Water,Surface Water
21FLWPB,"FL Dept. of Environmental Protection, Southeast District",G4SE0075,3283,1/27/2016,2:40:00 PM,Sample,Routine Sample,0.3,m,,"Nitrogen, ammonia as N",0.61,mg/l,,2/4/2016,1:38:00 PM,350.1,,Total,0.02,mg/l,0.05,Water,Surface Water
21FLWPB,"FL Dept. of Environmental Protection, Southeast District",G4SE0075,3283,1/27/2016,2:40:00 PM,Sample,Routine Sample,0.3,m,,Phosphorus as P,0.006,mg/l,,2/4/2016,1:19:00 PM,365.1,,Total,0.002,mg/l,0.005,Water,Surface Water
21FLWPB,"FL Dept. of Environmental Protection, Southeast District",G4SE0075,3283,1/20/2016,1:00:00 PM,Sample,Routine Sample,0.3,m,,"Phosphorus, orthophosphate as P",*Non-detect,,U,1/21/2016,3:25:00 PM,365.1,**U**,Dissolved,0.004,mg/l,0.01,Water,Surface Water
21FLWPB,"FL Dept. of Environmental Protection, Southeast District",G4SE0075,3283,1/20/2016,1:00:00 PM,Sample,Routine Sample,0.3,m,,Phosphorus as P,0.007,mg/l,,1/28/2016,11:34:00 AM,365.1,,Total,0.002,mg/l,0.005,Water,Surface Water
21FLWPB,"FL Dept. of Environmental Protection, Southeast District",G4SE0075,3283,1/20/2016,1:00:00 PM,Sample,Routine Sample,0.3,m,,"Nitrogen, ammonia as N",3.4,mg/l,,2/2/2016,12:56:00 PM,350.1,,Total,0.04,mg/l,0.1,Water,Surface Water
21FLWPB,"FL Dept. of Environmental Protection, Southeast District",G4SE0075,3283,1/20/2016,1:00:00 PM,Sample,Routine Sample,0.3,m,,"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",0.056,mg/l,,1/28/2016,12:08:00 PM,353.2,,Total,0.004,mg/l,0.01,Water,Surface Water
21FLWPB,"FL Dept. of Environmental Protection, Southeast District",G4SE0075,3283,9/30/2015,2:40:00 PM,Sample,Routine Sample,0.3,m,,"Phosphorus, orthophosphate as P",*Non-detect,,U,10/1/2015,2:33:00 PM,365.1,**U**,Dissolved,0.004,mg/l,0.01,Water,Surface Water
21FLWPB,"FL Dept. of Environmental Protection, Southeast District",G4SE0075,3283,9/30/2015,2:40:00 PM,Sample,Routine Sample,0.3,m,,"Nitrogen, ammonia as N",0.30,mg/l,,10/6/2015,2:17:00 PM,350.1,,Total,0.01,mg/l,0.025,Water,Surface Water
21FLWPB,"FL Dept. of Environmental Protection, Southeast District",G4SE0075,3283,9/30/2015,2:40:00 PM,Sample,Routine Sample,0.3,m,,Phosphorus as P,0.008,mg/l,,10/6/2015,11:51:00 AM,365.1,,Total,0.002,mg/l,0.005,Water,Surface Water
21FLWPB,"FL Dept. of Environmental Protection, Southeast District",G4SE0075,3283,9/30/2015,2:40:00 PM,Sample,Routine Sample,0.3,m,,"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",0.050,mg/l,,10/2/2015,1:37:00 PM,353.2,,Total,0.004,mg/l,0.01,Water,Surface Water
21FLWPB,"FL Dept. of Environmental Protection, Southeast District",G4SE0075,3283,8/25/2015,1:00:00 PM,Sample,Routine Sample,0.3,m,,"Phosphorus, orthophosphate as P",*Non-detect,,U,8/26/2015,3:46:00 PM,365.1,**U**,Dissolved,0.004,mg/l,0.01,Water,Surface Water
21FLWPB,"FL Dept. of Environmental Protection, Southeast District",G4SE0075,3283,8/25/2015,1:00:00 PM,Sample,Routine Sample,0.3,m,,Phosphorus as P,0.007,mg/l,,9/2/2015,2:44:00 PM,365.1,,Total,0.002,mg/l,0.005,Water,Surface Water
21FLWPB,"FL Dept. of Environmental Protection, Southeast District",G4SE0075,3283,8/25/2015,1:00:00 PM,Sample,Routine Sample,0.3,m,,"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",0.020,mg/l,,8/27/2015,10:51:00 AM,353.2,,Total,0.004,mg/l,0.01,Water,Surface Water
21FLWPB,"FL Dept. of Environmental Protection, Southeast District",G4SE0075,3283,8/25/2015,1:00:00 PM,Sample,Routine Sample,0.3,m,,"Nitrogen, ammonia as N",0.28,mg/l,,9/2/2015,2:07:00 PM,350.1,,Total,0.01,mg/l,0.025,Water,Surface Water
21FLWPB,"FL Dept. of Environmental Protection, Southeast District",G4SE0069,3283,7/29/2015,3:40:00 PM,Sample,Routine Sample,0.3,m,,"Phosphorus, orthophosphate as P",*Non-detect,,U,7/30/2015,11:44:00 AM,365.1,**U**,Dissolved,0.004,mg/l,0.01,Water,Surface Water
21FLWPB,"FL Dept. of Environmental Protection, Southeast District",G4SE0069,3283,7/29/2015,3:40:00 PM,Sample,Routine Sample,0.3,m,,"Nitrogen, ammonia as N",0.13,mg/l,,8/4/2015,9:58:00 AM,350.1,,Total,0.002,mg/l,0.005,Water,Surface Water
21FLWPB,"FL Dept. of Environmental Protection, Southeast District",G4SE0069,3283,7/29/2015,3:40:00 PM,Sample,Routine Sample,0.3,m,,"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",0.014,mg/l,,7/31/2015,11:13:00 AM,353.2,,Total,0.004,mg/l,0.01,Water,Surface Water
21FLWPB,"FL Dept. of Environmental Protection, Southeast District",G4SE0069,3283,7/29/2015,3:40:00 PM,Sample,Routine Sample,0.3,m,,Phosphorus as P,0.003,mg/l,I,8/5/2015,10:30:00 AM,365.1,**I**,Total,0.002,mg/l,0.005,Water,Surface Water
21FLWPB,"FL Dept. of Environmental Protection, Southeast District",G4SE0070,3283,7/29/2015,3:20:00 PM,Sample,Routine Sample,0.3,m,,Phosphorus as P,0.005,mg/l,I,8/5/2015,10:31:00 AM,365.1,**I**,Total,0.002,mg/l,0.005,Water,Surface Water
21FLWPB,"FL Dept. of Environmental Protection, Southeast District",G4SE0070,3283,7/29/2015,3:20:00 PM,Sample,Routine Sample,0.3,m,,"Phosphorus, orthophosphate as P",*Non-detect,,U,7/30/2015,11:30:00 AM,365.1,**U**,Dissolved,0.004,mg/l,0.01,Water,Surface Water
21FLWPB,"FL Dept. of Environmental Protection, Southeast District",G4SE0070,3283,7/29/2015,3:20:00 PM,Sample,Routine Sample,0.3,m,,"Nitrogen, ammonia as N",0.13,mg/l,,8/4/2015,9:43:00 AM,350.1,,Total,0.002,mg/l,0.005,Water,Surface Water
21FLWPB,"FL Dept. of Environmental Protection, Southeast District",G4SE0070,3283,7/29/2015,3:20:00 PM,Sample,Routine Sample,0.3,m,,"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",0.015,mg/l,,7/31/2015,11:14:00 AM,353.2,,Total,0.004,mg/l,0.01,Water,Surface Water
